Land Size (sqft),Location,Type,Floors,Estimated Cost (rs),Time (months),Suggested Materials
9301,Ahmedabad,Industrial,5,113704725,22,"Steel, Iron, Asphalt"
5108,Pune,Institutional,3,31429524,15,"Concrete, Brick, Steel"
4695,Trivandrum,Commercial,6,90622890,8,"Steel, Concrete, Glass"
5655,Trivandrum,Industrial,3,64467000,20,"Reinforced Steel, Concrete"
1624,Bangalore,Residential,7,24191104,24,"Cement, Bricks, Paint"
8852,Ahmedabad,Institutional,8,250971904,24,"Glass, Concrete, Wood"
5820,Kochi,Commercial,2,30950760,14,"Steel, Concrete, Glass"
7605,Kolkata,Commercial,4,150700680,12,"Reinforced Steel, Glass"
1434,Kochi,Mixed-Use,2,11102028,11,"Brick, Wood, Glass"
2866,Bangalore,Mixed-Use,9,103537116,10,"Steel, Concrete, Glass"
8681,Hyderabad,Industrial,7,178168844,22,"Steel, Iron, Asphalt"
9962,Pune,Institutional,2,92009032,12,"Glass, Concrete, Wood"
8583,Hyderabad,Commercial,4,83392428,14,"Reinforced Steel, Glass"
3015,Delhi,Industrial,8,99060840,12,"Reinforced Steel, Concrete"
2375,Chennai,Commercial,2,13618250,22,"Steel, Concrete, Glass"
1454,Kolkata,Mixed-Use,10,45481120,7,"Steel, Concrete, Glass"
3746,Chennai,Institutional,10,139613420,14,"Steel, Paint, Tiles"
5724,Kolkata,Commercial,2,31012632,18,"Aluminum, Tiles, Marble"
1869,Ahmedabad,Mixed-Use,3,16422903,21,"Concrete, Tiles, Aluminum"
9996,Delhi,Commercial,7,265963572,18,"Aluminum, Tiles, Marble"
3930,Trivandrum,Mixed-Use,8,118717440,22,"Concrete, Tiles, Aluminum"
6946,Hyderabad,Residential,7,164488226,10,"Cement, Bricks, Paint"
8873,Mumbai,Commercial,9,366463773,23,"Aluminum, Tiles, Marble"
9235,Ahmedabad,Institutional,2,71441960,17,"Concrete, Brick, Steel"
1642,Bangalore,Industrial,6,28028940,17,"Reinforced Steel, Concrete"
7846,Hyderabad,Commercial,1,20124990,17,"Steel, Concrete, Glass"
5408,Chennai,Commercial,9,139396608,22,"Reinforced Steel, Glass"
9903,Ahmedabad,Mixed-Use,5,153744075,21,"Brick, Wood, Glass"
6466,Delhi,Mixed-Use,8,180892816,20,"Concrete, Tiles, Aluminum"
7654,Kochi,Residential,4,87133136,9,"Concrete, Gypsum, PVC"
4575,Bangalore,Residential,6,64315350,9,"Cement, Bricks, Paint"
5265,Trivandrum,Commercial,7,121584645,22,"Aluminum, Tiles, Marble"
6899,Pune,Residential,9,302755716,11,"Concrete, Gypsum, PVC"
1551,Bangalore,Mixed-Use,4,23500752,19,"Concrete, Tiles, Aluminum"
4907,Mumbai,Commercial,6,62623134,8,"Aluminum, Tiles, Marble"
7108,Chennai,Commercial,4,103009136,17,"Steel, Concrete, Glass"
8418,Hyderabad,Institutional,4,155328936,16,"Concrete, Brick, Steel"
4260,Chennai,Mixed-Use,7,126108780,6,"Concrete, Tiles, Aluminum"
6677,Mumbai,Institutional,4,80391080,8,"Concrete, Brick, Steel"
7118,Hyderabad,Industrial,6,200684892,14,"Steel, Iron, Asphalt"
8417,Trivandrum,Industrial,1,21791613,20,"Reinforced Steel, Concrete"
7811,Hyderabad,Residential,8,229518424,17,"Concrete, Gypsum, PVC"
8602,Kolkata,Residential,1,35440240,22,"Wood, Tiles, Glass"
4678,Hyderabad,Industrial,6,110251104,9,"Steel, Iron, Asphalt"
8859,Bangalore,Industrial,6,137243628,13,"Steel, Iron, Asphalt"
9623,Delhi,Industrial,8,223176616,24,"Reinforced Steel, Concrete"
3126,Kochi,Mixed-Use,8,86002512,9,"Concrete, Tiles, Aluminum"
2835,Ahmedabad,Mixed-Use,4,48659940,8,"Concrete, Tiles, Aluminum"
5609,Ahmedabad,Commercial,3,55545927,15,"Aluminum, Tiles, Marble"
9765,Trivandrum,Residential,2,54605880,23,"Wood, Tiles, Glass"
2447,Delhi,Residential,7,35131579,7,"Wood, Tiles, Glass"
7729,Kolkata,Commercial,4,83504116,6,"Steel, Concrete, Glass"
6250,Delhi,Institutional,8,140850000,21,"Glass, Concrete, Wood"
1186,Kolkata,Residential,5,23714070,9,"Concrete, Gypsum, PVC"
4936,Kolkata,Residential,5,80678920,20,"Cement, Bricks, Paint"
9969,Hyderabad,Residential,10,285013710,20,"Cement, Bricks, Paint"
8142,Kolkata,Institutional,1,24482994,7,"Concrete, Brick, Steel"
1823,Hyderabad,Residential,3,13333422,7,"Concrete, Gypsum, PVC"
10000,Hyderabad,Commercial,7,262010000,9,"Aluminum, Tiles, Marble"
8121,Mumbai,Commercial,4,96964740,15,"Aluminum, Tiles, Marble"
5319,Pune,Mixed-Use,8,185611824,18,"Concrete, Tiles, Aluminum"
7025,Pune,Residential,2,39592900,7,"Cement, Bricks, Paint"
5268,Kolkata,Institutional,1,23521620,9,"Steel, Paint, Tiles"
5365,Bangalore,Institutional,7,126898345,22,"Concrete, Brick, Steel"
7034,Bangalore,Mixed-Use,1,21369292,15,"Steel, Concrete, Glass"
9725,Hyderabad,Mixed-Use,4,115066200,10,"Brick, Wood, Glass"
8952,Kolkata,Industrial,3,79225200,13,"Concrete, Metal Panels"
7921,Kolkata,Residential,2,33173148,17,"Wood, Tiles, Glass"
2865,Pune,Commercial,1,8019135,9,"Steel, Concrete, Glass"
9892,Hyderabad,Residential,2,50112872,19,"Cement, Bricks, Paint"
8271,Pune,Mixed-Use,7,248204439,7,"Concrete, Tiles, Aluminum"
1131,Ahmedabad,Residential,9,42996096,8,"Concrete, Gypsum, PVC"
2357,Chennai,Industrial,8,71445384,19,"Steel, Iron, Asphalt"
3635,Chennai,Residential,4,55542800,21,"Concrete, Gypsum, PVC"
5303,Trivandrum,Mixed-Use,2,44640654,7,"Brick, Wood, Glass"
9919,Chennai,Institutional,8,351608712,8,"Glass, Concrete, Wood"
4834,Bangalore,Residential,10,190749640,12,"Wood, Tiles, Glass"
3881,Kochi,Institutional,5,42477545,22,"Steel, Paint, Tiles"
3985,Kochi,Industrial,9,87869250,16,"Reinforced Steel, Concrete"
7203,Trivandrum,Commercial,2,48188070,17,"Aluminum, Tiles, Marble"
3796,Kochi,Industrial,5,68650660,24,"Steel, Iron, Asphalt"
8716,Trivandrum,Industrial,3,98682552,7,"Reinforced Steel, Concrete"
3008,Bangalore,Residential,10,125223040,22,"Wood, Tiles, Glass"
3060,Bangalore,Residential,6,79553880,20,"Concrete, Gypsum, PVC"
4760,Delhi,Residential,4,93448320,21,"Cement, Bricks, Paint"
7919,Hyderabad,Residential,7,134757623,14,"Cement, Bricks, Paint"
4964,Mumbai,Institutional,1,17517956,18,"Steel, Paint, Tiles"
9791,Pune,Commercial,1,41670496,14,"Aluminum, Tiles, Marble"
9801,Pune,Industrial,7,271066257,7,"Reinforced Steel, Concrete"
7225,Delhi,Mixed-Use,10,261978500,13,"Brick, Wood, Glass"
9961,Ahmedabad,Institutional,5,192595935,11,"Steel, Paint, Tiles"
5959,Bangalore,Residential,4,112911132,19,"Concrete, Gypsum, PVC"
8850,Ahmedabad,Industrial,10,435597000,14,"Reinforced Steel, Concrete"
4826,Hyderabad,Residential,10,227642420,24,"Concrete, Gypsum, PVC"
5823,Pune,Mixed-Use,9,145167390,12,"Concrete, Tiles, Aluminum"
8508,Chennai,Residential,7,139003704,6,"Concrete, Gypsum, PVC"
2945,Trivandrum,Institutional,3,43335675,10,"Steel, Paint, Tiles"
5944,Chennai,Residential,9,158936616,7,"Concrete, Gypsum, PVC"
7027,Bangalore,Institutional,7,153125357,16,"Glass, Concrete, Wood"
2752,Trivandrum,Industrial,3,28078656,15,"Concrete, Metal Panels"
8357,Hyderabad,Industrial,5,161290100,17,"Steel, Iron, Asphalt"
9881,Ahmedabad,Commercial,5,114421980,11,"Steel, Concrete, Glass"
4334,Chennai,Institutional,5,102802480,17,"Glass, Concrete, Wood"
7930,Ahmedabad,Industrial,6,109148520,20,"Reinforced Steel, Concrete"
5279,Delhi,Residential,7,160486879,19,"Cement, Bricks, Paint"
9748,Delhi,Industrial,9,318203964,14,"Reinforced Steel, Concrete"
3673,Kochi,Industrial,5,37629885,9,"Reinforced Steel, Concrete"
2461,Trivandrum,Mixed-Use,10,121696450,23,"Steel, Concrete, Glass"
8470,Bangalore,Mixed-Use,5,146742750,19,"Concrete, Tiles, Aluminum"
8209,Hyderabad,Mixed-Use,9,171994968,24,"Concrete, Tiles, Aluminum"
6542,Delhi,Residential,7,184504026,23,"Cement, Bricks, Paint"
5664,Mumbai,Residential,10,174394560,16,"Concrete, Gypsum, PVC"
8534,Mumbai,Industrial,1,29075338,18,"Concrete, Metal Panels"
4684,Pune,Industrial,2,28328832,24,"Reinforced Steel, Concrete"
6682,Pune,Residential,1,24516258,10,"Cement, Bricks, Paint"
8546,Trivandrum,Commercial,5,200489160,23,"Steel, Concrete, Glass"
6172,Mumbai,Residential,10,164360360,21,"Wood, Tiles, Glass"
7907,Trivandrum,Mixed-Use,6,188202414,20,"Concrete, Tiles, Aluminum"
2222,Kolkata,Commercial,1,7137064,20,"Aluminum, Tiles, Marble"
6946,Delhi,Mixed-Use,6,115609224,10,"Brick, Wood, Glass"
1041,Ahmedabad,Residential,6,14571918,18,"Cement, Bricks, Paint"
5449,Kolkata,Institutional,6,111421152,16,"Steel, Paint, Tiles"
7725,Mumbai,Institutional,3,65817000,15,"Glass, Concrete, Wood"
9230,Ahmedabad,Industrial,8,226098080,6,"Steel, Iron, Asphalt"
9112,Pune,Industrial,6,155924544,22,"Concrete, Metal Panels"
3979,Chennai,Commercial,3,36372039,24,"Reinforced Steel, Glass"
7228,Mumbai,Residential,7,105492660,15,"Wood, Tiles, Glass"
3355,Mumbai,Mixed-Use,1,8156005,9,"Concrete, Tiles, Aluminum"
4698,Mumbai,Residential,3,45340398,14,"Cement, Bricks, Paint"
4454,Trivandrum,Commercial,2,29111344,19,"Aluminum, Tiles, Marble"
2357,Trivandrum,Institutional,8,63224168,12,"Concrete, Brick, Steel"
6487,Hyderabad,Commercial,8,140690056,18,"Aluminum, Tiles, Marble"
8822,Pune,Commercial,4,135153040,8,"Reinforced Steel, Glass"
1961,Pune,Industrial,1,3935727,16,"Concrete, Metal Panels"
5097,Bangalore,Mixed-Use,5,62591160,17,"Brick, Wood, Glass"
1955,Kochi,Industrial,2,13102410,10,"Concrete, Metal Panels"
2243,Chennai,Institutional,2,20693918,17,"Glass, Concrete, Wood"
2905,Bangalore,Residential,9,97860735,11,"Concrete, Gypsum, PVC"
6918,Bangalore,Mixed-Use,8,165865968,15,"Concrete, Tiles, Aluminum"
5138,Trivandrum,Institutional,5,122387160,18,"Glass, Concrete, Wood"
6192,Trivandrum,Mixed-Use,8,100657152,6,"Concrete, Tiles, Aluminum"
5451,Ahmedabad,Commercial,1,26911587,11,"Steel, Concrete, Glass"
8045,Hyderabad,Industrial,8,192307680,24,"Steel, Iron, Asphalt"
5588,Kochi,Residential,9,113861088,18,"Wood, Tiles, Glass"
9207,Chennai,Institutional,2,67966074,12,"Glass, Concrete, Wood"
9772,Delhi,Industrial,2,72938208,22,"Reinforced Steel, Concrete"
2385,Ahmedabad,Mixed-Use,9,98180910,8,"Brick, Wood, Glass"
8266,Delhi,Mixed-Use,7,266454510,23,"Concrete, Tiles, Aluminum"
3716,Hyderabad,Residential,9,149160240,23,"Cement, Bricks, Paint"
7116,Delhi,Institutional,4,116303904,10,"Concrete, Brick, Steel"
5817,Hyderabad,Institutional,7,161125083,15,"Concrete, Brick, Steel"
3895,Trivandrum,Industrial,9,167527845,16,"Steel, Iron, Asphalt"
3309,Kochi,Industrial,2,23500518,21,"Concrete, Metal Panels"
8031,Kochi,Industrial,6,101768832,24,"Steel, Iron, Asphalt"
1185,Mumbai,Commercial,9,51415965,8,"Aluminum, Tiles, Marble"
7766,Trivandrum,Institutional,2,62407576,8,"Steel, Paint, Tiles"
7884,Delhi,Commercial,1,27546696,9,"Aluminum, Tiles, Marble"
7854,Ahmedabad,Residential,2,71172948,13,"Cement, Bricks, Paint"
3326,Delhi,Mixed-Use,3,46647150,12,"Concrete, Tiles, Aluminum"
1719,Kochi,Commercial,1,6735042,18,"Aluminum, Tiles, Marble"
2704,Chennai,Institutional,9,121339296,16,"Concrete, Brick, Steel"
6483,Pune,Institutional,5,136953375,13,"Glass, Concrete, Wood"
6497,Bangalore,Institutional,8,195585688,9,"Glass, Concrete, Wood"
9607,Chennai,Mixed-Use,5,219712090,17,"Concrete, Tiles, Aluminum"
5708,Hyderabad,Mixed-Use,8,173477536,13,"Concrete, Tiles, Aluminum"
9578,Kolkata,Commercial,4,99572888,8,"Reinforced Steel, Glass"
6567,Mumbai,Mixed-Use,5,95976705,14,"Concrete, Tiles, Aluminum"
8511,Delhi,Commercial,10,277543710,7,"Steel, Concrete, Glass"
7468,Kochi,Industrial,9,173541384,21,"Steel, Iron, Asphalt"
2070,Chennai,Institutional,1,9172170,12,"Steel, Paint, Tiles"
9331,Kolkata,Institutional,1,43146544,9,"Steel, Paint, Tiles"
5650,Pune,Institutional,2,45787600,23,"Steel, Paint, Tiles"
5195,Kochi,Institutional,5,105406550,21,"Steel, Paint, Tiles"
7498,Kolkata,Commercial,4,93365096,18,"Steel, Concrete, Glass"
3991,Hyderabad,Institutional,1,11553945,15,"Glass, Concrete, Wood"
7243,Kochi,Industrial,6,189433422,7,"Reinforced Steel, Concrete"
3374,Chennai,Residential,10,85058540,21,"Concrete, Gypsum, PVC"
6047,Trivandrum,Commercial,5,70931310,22,"Reinforced Steel, Glass"
8759,Kochi,Industrial,10,373921710,7,"Steel, Iron, Asphalt"
4151,Trivandrum,Mixed-Use,1,11145435,15,"Concrete, Tiles, Aluminum"
6720,Bangalore,Residential,3,98360640,17,"Wood, Tiles, Glass"
4826,Kochi,Residential,9,136295892,12,"Wood, Tiles, Glass"
1539,Hyderabad,Commercial,5,33265485,7,"Reinforced Steel, Glass"
2124,Mumbai,Mixed-Use,7,72080064,14,"Steel, Concrete, Glass"
3094,Delhi,Commercial,8,83290480,21,"Reinforced Steel, Glass"
2984,Kochi,Industrial,7,81128992,15,"Reinforced Steel, Concrete"
9058,Hyderabad,Institutional,7,278225528,11,"Steel, Paint, Tiles"
2137,Pune,Institutional,1,8605699,14,"Steel, Paint, Tiles"
5766,Chennai,Institutional,8,207576000,19,"Concrete, Brick, Steel"
9322,Pune,Institutional,10,246473680,15,"Steel, Paint, Tiles"
5612,Pune,Mixed-Use,8,160278720,11,"Concrete, Tiles, Aluminum"
8819,Pune,Industrial,3,55427415,8,"Steel, Iron, Asphalt"
3871,Ahmedabad,Residential,5,60058565,7,"Concrete, Gypsum, PVC"
2158,Delhi,Commercial,4,22486360,22,"Reinforced Steel, Glass"
3870,Mumbai,Residential,7,99799560,23,"Concrete, Gypsum, PVC"
3848,Hyderabad,Commercial,6,73835424,24,"Steel, Concrete, Glass"
6443,Trivandrum,Residential,3,78746346,13,"Wood, Tiles, Glass"
4115,Delhi,Industrial,8,96784800,17,"Steel, Iron, Asphalt"
3823,Ahmedabad,Industrial,3,38719344,9,"Steel, Iron, Asphalt"
8154,Ahmedabad,Residential,9,325833840,22,"Concrete, Gypsum, PVC"
4625,Trivandrum,Industrial,6,87190500,21,"Reinforced Steel, Concrete"
8071,Chennai,Institutional,5,98546910,22,"Glass, Concrete, Wood"
4121,Kolkata,Residential,9,128513385,20,"Concrete, Gypsum, PVC"
8353,Kolkata,Institutional,6,146695386,22,"Concrete, Brick, Steel"
6830,Kochi,Commercial,2,59448320,11,"Reinforced Steel, Glass"
7726,Ahmedabad,Commercial,9,325140984,16,"Steel, Concrete, Glass"
4694,Hyderabad,Mixed-Use,6,79281660,7,"Concrete, Tiles, Aluminum"
4414,Bangalore,Industrial,8,175535952,8,"Reinforced Steel, Concrete"
6631,Pune,Residential,9,289204434,22,"Wood, Tiles, Glass"
7235,Delhi,Mixed-Use,10,360809450,13,"Steel, Concrete, Glass"
1462,Delhi,Commercial,5,31433000,7,"Aluminum, Tiles, Marble"
8003,Hyderabad,Residential,3,74716008,6,"Cement, Bricks, Paint"
1766,Chennai,Commercial,5,29907210,14,"Steel, Concrete, Glass"
4244,Hyderabad,Commercial,1,19492692,15,"Aluminum, Tiles, Marble"
3514,Hyderabad,Residential,10,170710120,17,"Cement, Bricks, Paint"
8968,Hyderabad,Industrial,7,242189808,7,"Steel, Iron, Asphalt"
5145,Trivandrum,Institutional,8,107057160,13,"Steel, Paint, Tiles"
7786,Trivandrum,Commercial,1,25211068,8,"Steel, Concrete, Glass"
4674,Kochi,Mixed-Use,6,83683296,6,"Brick, Wood, Glass"
9329,Chennai,Mixed-Use,10,379970170,7,"Concrete, Tiles, Aluminum"
1299,Mumbai,Mixed-Use,8,49642584,22,"Steel, Concrete, Glass"
6665,Bangalore,Institutional,4,122342740,11,"Steel, Paint, Tiles"
3029,Ahmedabad,Mixed-Use,8,56969432,8,"Steel, Concrete, Glass"
4894,Trivandrum,Mixed-Use,7,126240730,24,"Steel, Concrete, Glass"
9108,Ahmedabad,Institutional,5,224922060,12,"Concrete, Brick, Steel"
2975,Kolkata,Institutional,6,54817350,24,"Glass, Concrete, Wood"
7427,Pune,Institutional,3,48973638,24,"Steel, Paint, Tiles"
1016,Pune,Industrial,4,16715232,14,"Concrete, Metal Panels"
3821,Kochi,Commercial,8,82839280,13,"Aluminum, Tiles, Marble"
3045,Hyderabad,Industrial,3,31734990,19,"Reinforced Steel, Concrete"
7574,Mumbai,Commercial,2,71589448,7,"Reinforced Steel, Glass"
4082,Trivandrum,Mixed-Use,7,129954552,20,"Brick, Wood, Glass"
9829,Kolkata,Residential,4,179163012,11,"Wood, Tiles, Glass"
3472,Hyderabad,Residential,7,96243840,24,"Cement, Bricks, Paint"
4711,Kolkata,Institutional,5,68144615,15,"Steel, Paint, Tiles"
2866,Mumbai,Institutional,9,108360594,14,"Concrete, Brick, Steel"
8926,Kochi,Institutional,7,211439088,9,"Glass, Concrete, Wood"
2405,Pune,Residential,5,26094250,10,"Wood, Tiles, Glass"
5246,Trivandrum,Mixed-Use,5,105706900,8,"Steel, Concrete, Glass"
3265,Trivandrum,Residential,9,108812655,15,"Cement, Bricks, Paint"
2579,Chennai,Commercial,2,22617830,8,"Reinforced Steel, Glass"
6288,Kolkata,Industrial,4,121056576,7,"Reinforced Steel, Concrete"
2269,Delhi,Institutional,2,10237728,14,"Steel, Paint, Tiles"
4448,Hyderabad,Industrial,10,142558400,24,"Concrete, Metal Panels"
2143,Bangalore,Institutional,5,33077205,10,"Steel, Paint, Tiles"
7645,Bangalore,Mixed-Use,7,142189355,19,"Steel, Concrete, Glass"
5702,Bangalore,Mixed-Use,6,104757144,19,"Concrete, Tiles, Aluminum"
6842,Bangalore,Commercial,1,26861692,9,"Steel, Concrete, Glass"
9320,Kolkata,Mixed-Use,3,74289720,17,"Brick, Wood, Glass"
2650,Chennai,Institutional,2,13705800,8,"Glass, Concrete, Wood"
1632,Chennai,Mixed-Use,1,3606720,19,"Steel, Concrete, Glass"
1484,Bangalore,Commercial,8,25643520,9,"Aluminum, Tiles, Marble"
3531,Kochi,Commercial,10,104482290,19,"Reinforced Steel, Glass"
1436,Pune,Commercial,9,38190420,24,"Reinforced Steel, Glass"
1057,Ahmedabad,Mixed-Use,4,11432512,12,"Steel, Concrete, Glass"
8321,Trivandrum,Mixed-Use,9,285252201,22,"Brick, Wood, Glass"
4918,Delhi,Commercial,1,17434310,18,"Steel, Concrete, Glass"
6360,Delhi,Institutional,3,61552080,10,"Steel, Paint, Tiles"
3733,Kochi,Mixed-Use,9,130893912,6,"Steel, Concrete, Glass"
3134,Kolkata,Institutional,2,13469932,17,"Glass, Concrete, Wood"
6253,Hyderabad,Residential,1,28988908,8,"Cement, Bricks, Paint"
5324,Kochi,Institutional,3,48762516,23,"Concrete, Brick, Steel"
4061,Mumbai,Mixed-Use,3,27594495,8,"Brick, Wood, Glass"
1761,Mumbai,Mixed-Use,5,29056500,9,"Brick, Wood, Glass"
4670,Delhi,Industrial,2,41348180,16,"Concrete, Metal Panels"
6359,Bangalore,Commercial,10,133984130,22,"Reinforced Steel, Glass"
6182,Ahmedabad,Industrial,1,18156534,17,"Steel, Iron, Asphalt"
6500,Kolkata,Commercial,2,56056000,19,"Aluminum, Tiles, Marble"
6130,Kochi,Mixed-Use,1,12989470,23,"Brick, Wood, Glass"
3707,Bangalore,Residential,1,18294045,17,"Concrete, Gypsum, PVC"
2436,Delhi,Industrial,5,37429140,20,"Concrete, Metal Panels"
1248,Mumbai,Institutional,9,39952224,14,"Concrete, Brick, Steel"
8795,Chennai,Mixed-Use,2,61213200,21,"Concrete, Tiles, Aluminum"
4652,Kochi,Mixed-Use,4,91923520,18,"Brick, Wood, Glass"
8563,Kolkata,Industrial,6,214811418,20,"Steel, Iron, Asphalt"
2608,Delhi,Mixed-Use,3,24011856,12,"Concrete, Tiles, Aluminum"
8981,Chennai,Commercial,8,255922576,10,"Aluminum, Tiles, Marble"
9325,Hyderabad,Mixed-Use,6,195097650,6,"Brick, Wood, Glass"
5218,Kochi,Residential,1,19123970,18,"Concrete, Gypsum, PVC"
1149,Hyderabad,Industrial,7,16874214,23,"Steel, Iron, Asphalt"
9343,Ahmedabad,Industrial,3,92523729,22,"Steel, Iron, Asphalt"
2584,Kochi,Commercial,2,12387696,8,"Steel, Concrete, Glass"
1919,Kochi,Residential,6,54910266,10,"Concrete, Gypsum, PVC"
3236,Kolkata,Residential,6,54558960,18,"Concrete, Gypsum, PVC"
5564,Trivandrum,Industrial,5,94198520,11,"Steel, Iron, Asphalt"
6274,Kolkata,Industrial,4,97974784,19,"Steel, Iron, Asphalt"
8386,Ahmedabad,Industrial,9,243781020,17,"Reinforced Steel, Concrete"
7898,Delhi,Residential,7,208704650,8,"Cement, Bricks, Paint"
8583,Trivandrum,Mixed-Use,5,173677005,24,"Brick, Wood, Glass"
6177,Hyderabad,Residential,8,153189600,24,"Wood, Tiles, Glass"
6225,Bangalore,Mixed-Use,3,87791175,9,"Concrete, Tiles, Aluminum"
2420,Trivandrum,Residential,10,81675000,15,"Concrete, Gypsum, PVC"
7037,Ahmedabad,Industrial,6,201610050,8,"Steel, Iron, Asphalt"
5592,Hyderabad,Industrial,7,115200792,11,"Steel, Iron, Asphalt"
7603,Pune,Residential,8,187155448,20,"Cement, Bricks, Paint"
9272,Delhi,Mixed-Use,6,148926864,20,"Concrete, Tiles, Aluminum"
9856,Kolkata,Mixed-Use,2,65719808,9,"Steel, Concrete, Glass"
5236,Ahmedabad,Commercial,5,124171740,9,"Steel, Concrete, Glass"
6501,Pune,Industrial,4,109710876,20,"Reinforced Steel, Concrete"
3589,Trivandrum,Mixed-Use,9,94286619,18,"Concrete, Tiles, Aluminum"
5455,Pune,Industrial,10,253330200,9,"Steel, Iron, Asphalt"
6137,Kolkata,Commercial,6,160838496,20,"Steel, Concrete, Glass"
2453,Kochi,Institutional,2,23990340,9,"Glass, Concrete, Wood"
5871,Trivandrum,Mixed-Use,4,73669308,13,"Steel, Concrete, Glass"
8142,Pune,Institutional,4,67415760,19,"Glass, Concrete, Wood"
2393,Trivandrum,Residential,5,31384195,20,"Wood, Tiles, Glass"
8099,Kolkata,Institutional,4,129130456,18,"Glass, Concrete, Wood"
8451,Pune,Mixed-Use,9,197677341,12,"Brick, Wood, Glass"
2824,Pune,Mixed-Use,2,17870272,22,"Steel, Concrete, Glass"
4931,Mumbai,Residential,6,75769746,13,"Concrete, Gypsum, PVC"
4927,Ahmedabad,Residential,3,52635141,19,"Concrete, Gypsum, PVC"
5457,Trivandrum,Commercial,1,20671116,14,"Aluminum, Tiles, Marble"
6073,Mumbai,Residential,8,163290824,9,"Cement, Bricks, Paint"
2774,Mumbai,Mixed-Use,4,46847312,12,"Steel, Concrete, Glass"
5257,Pune,Industrial,4,79759204,9,"Steel, Iron, Asphalt"
1836,Ahmedabad,Commercial,6,42081120,6,"Aluminum, Tiles, Marble"
4744,Mumbai,Mixed-Use,1,19772992,7,"Brick, Wood, Glass"
8006,Mumbai,Residential,4,70260656,6,"Cement, Bricks, Paint"
9693,Pune,Institutional,6,276773922,10,"Concrete, Brick, Steel"
7005,Trivandrum,Mixed-Use,8,197260800,8,"Concrete, Tiles, Aluminum"
9796,Trivandrum,Institutional,1,20992828,16,"Glass, Concrete, Wood"
1532,Delhi,Mixed-Use,4,24536512,22,"Steel, Concrete, Glass"
3390,Bangalore,Mixed-Use,3,22984200,21,"Steel, Concrete, Glass"
2882,Kochi,Residential,6,51910584,14,"Cement, Bricks, Paint"
6038,Bangalore,Mixed-Use,9,183023856,11,"Brick, Wood, Glass"
4314,Hyderabad,Institutional,7,65227680,22,"Steel, Paint, Tiles"
5118,Chennai,Mixed-Use,9,187794774,18,"Concrete, Tiles, Aluminum"
9551,Bangalore,Industrial,9,281687643,21,"Concrete, Metal Panels"
3588,Bangalore,Institutional,10,125113560,16,"Glass, Concrete, Wood"
7115,Kochi,Commercial,4,137291040,20,"Reinforced Steel, Glass"
5222,Chennai,Commercial,3,50601180,24,"Reinforced Steel, Glass"
3039,Trivandrum,Industrial,1,8442342,22,"Concrete, Metal Panels"
