Land Size (sqft),Location,Type,Floors,Estimated Cost (rs),Time (months),Suggested Materials
2892,Kolkata,Industrial,10,74844960,17,"Steel, Iron, Asphalt"
4769,Trivandrum,Mixed-Use,5,102080445,14,"Concrete, Tiles, Aluminum"
8719,Trivandrum,Residential,6,139730694,18,"Wood, Tiles, Glass"
7824,Delhi,Residential,7,225698928,13,"Cement, Bricks, Paint"
1753,Bangalore,Commercial,5,26216115,15,"Reinforced Steel, Glass"
3406,Ahmedabad,Mixed-Use,3,20793630,24,"Steel, Concrete, Glass"
5183,Mumbai,Residential,6,142242252,7,"Concrete, Gypsum, PVC"
2193,Bangalore,Commercial,1,9848763,24,"Steel, Concrete, Glass"
4563,Mumbai,Industrial,2,20798154,7,"Concrete, Metal Panels"
7175,Chennai,Commercial,3,55469925,22,"Steel, Concrete, Glass"
9871,Bangalore,Mixed-Use,4,183719052,22,"Steel, Concrete, Glass"
6378,Trivandrum,Institutional,10,283119420,6,"Glass, Concrete, Wood"
9919,Chennai,Industrial,6,164556210,8,"Steel, Iron, Asphalt"
7662,Hyderabad,Commercial,1,19859904,18,"Reinforced Steel, Glass"
2281,Pune,Institutional,8,84542984,18,"Glass, Concrete, Wood"
7960,Pune,Mixed-Use,4,133855360,24,"Brick, Wood, Glass"
8677,Hyderabad,Industrial,5,190199840,21,"Reinforced Steel, Concrete"
7336,Delhi,Residential,10,267910720,16,"Wood, Tiles, Glass"
8944,Delhi,Institutional,8,347313408,8,"Glass, Concrete, Wood"
8609,Ahmedabad,Residential,2,81165652,18,"Concrete, Gypsum, PVC"
9005,Delhi,Institutional,9,207475200,14,"Glass, Concrete, Wood"
9190,Mumbai,Institutional,7,188744220,7,"Steel, Paint, Tiles"
9255,Kochi,Residential,7,232254225,15,"Wood, Tiles, Glass"
9545,Ahmedabad,Residential,8,220909480,19,"Wood, Tiles, Glass"
9721,Hyderabad,Commercial,1,46417775,18,"Reinforced Steel, Glass"
2879,Chennai,Commercial,10,109689900,6,"Steel, Concrete, Glass"
6472,Kochi,Industrial,10,257197280,9,"Concrete, Metal Panels"
4599,Kolkata,Industrial,2,41418594,7,"Steel, Iron, Asphalt"
4366,Delhi,Residential,2,22563488,24,"Wood, Tiles, Glass"
5160,Delhi,Mixed-Use,2,49236720,21,"Brick, Wood, Glass"
3152,Mumbai,Commercial,5,33978560,16,"Aluminum, Tiles, Marble"
2386,Chennai,Mixed-Use,4,38576848,22,"Steel, Concrete, Glass"
8695,Ahmedabad,Mixed-Use,1,36336405,20,"Steel, Concrete, Glass"
6816,Mumbai,Industrial,9,253964160,13,"Concrete, Metal Panels"
5167,Kochi,Institutional,1,16658408,19,"Concrete, Brick, Steel"
7480,Mumbai,Mixed-Use,6,119874480,6,"Brick, Wood, Glass"
5769,Delhi,Residential,10,236644380,6,"Concrete, Gypsum, PVC"
6193,Pune,Commercial,1,23966910,17,"Reinforced Steel, Glass"
8126,Hyderabad,Commercial,4,118087032,7,"Reinforced Steel, Glass"
1413,Kolkata,Mixed-Use,4,12846996,16,"Steel, Concrete, Glass"
7255,Ahmedabad,Institutional,10,156998200,12,"Steel, Paint, Tiles"
7449,Delhi,Commercial,8,276685656,8,"Reinforced Steel, Glass"
8423,Ahmedabad,Industrial,5,144412335,9,"Concrete, Metal Panels"
2390,Pune,Commercial,5,26863600,16,"Reinforced Steel, Glass"
7348,Kochi,Institutional,9,157592556,11,"Concrete, Brick, Steel"
7077,Ahmedabad,Institutional,1,15626016,24,"Glass, Concrete, Wood"
6506,Bangalore,Industrial,4,87752928,21,"Reinforced Steel, Concrete"
4687,Mumbai,Residential,8,163520056,21,"Cement, Bricks, Paint"
6776,Pune,Industrial,3,64277136,12,"Reinforced Steel, Concrete"
3320,Trivandrum,Mixed-Use,9,76074480,22,"Brick, Wood, Glass"
9553,Ahmedabad,Mixed-Use,8,302027648,22,"Brick, Wood, Glass"
7225,Trivandrum,Industrial,5,100861000,13,"Concrete, Metal Panels"
2678,Chennai,Institutional,6,75583872,11,"Steel, Paint, Tiles"
5225,Chennai,Residential,3,73186575,24,"Concrete, Gypsum, PVC"
8093,Mumbai,Institutional,10,311094920,6,"Steel, Paint, Tiles"
2381,Pune,Residential,10,73477660,8,"Cement, Bricks, Paint"
8335,Hyderabad,Industrial,6,108671730,19,"Concrete, Metal Panels"
8365,Kolkata,Residential,2,71939000,24,"Concrete, Gypsum, PVC"
8176,Hyderabad,Residential,3,111185424,18,"Cement, Bricks, Paint"
2195,Delhi,Commercial,2,11914460,16,"Reinforced Steel, Glass"
7581,Bangalore,Mixed-Use,10,365480010,17,"Concrete, Tiles, Aluminum"
4808,Trivandrum,Institutional,5,53176480,16,"Steel, Paint, Tiles"
7821,Trivandrum,Mixed-Use,7,183511944,13,"Brick, Wood, Glass"
6262,Hyderabad,Commercial,8,120981840,9,"Reinforced Steel, Glass"
8811,Trivandrum,Institutional,7,286489665,10,"Steel, Paint, Tiles"
1479,Hyderabad,Commercial,3,15312087,19,"Reinforced Steel, Glass"
8861,Trivandrum,Commercial,6,208889214,24,"Steel, Concrete, Glass"
3519,Bangalore,Institutional,1,16532262,13,"Concrete, Brick, Steel"
9891,Mumbai,Institutional,7,323336790,19,"Steel, Paint, Tiles"
6168,Kolkata,Mixed-Use,4,119412480,14,"Brick, Wood, Glass"
9224,Chennai,Mixed-Use,1,25781080,17,"Concrete, Tiles, Aluminum"
9089,Trivandrum,Institutional,8,322986704,14,"Glass, Concrete, Wood"
4329,Chennai,Institutional,6,72181746,24,"Steel, Paint, Tiles"
3850,Delhi,Industrial,9,88357500,6,"Reinforced Steel, Concrete"
9631,Kochi,Institutional,5,190886420,20,"Concrete, Brick, Steel"
4910,Kochi,Residential,8,109551920,21,"Cement, Bricks, Paint"
6360,Bangalore,Mixed-Use,3,47146680,6,"Brick, Wood, Glass"
3203,Kochi,Commercial,7,83047384,7,"Aluminum, Tiles, Marble"
3547,Bangalore,Institutional,5,73210080,18,"Steel, Paint, Tiles"
4949,Bangalore,Industrial,10,121497950,13,"Concrete, Metal Panels"
7103,Chennai,Mixed-Use,8,261049456,18,"Steel, Concrete, Glass"
1884,Pune,Residential,2,16036608,13,"Concrete, Gypsum, PVC"
6497,Trivandrum,Institutional,8,255981800,15,"Steel, Paint, Tiles"
8383,Mumbai,Institutional,4,117429064,19,"Concrete, Brick, Steel"
3419,Delhi,Industrial,4,34326760,14,"Concrete, Metal Panels"
7190,Pune,Commercial,8,279374640,20,"Aluminum, Tiles, Marble"
4604,Kolkata,Commercial,1,19700516,18,"Steel, Concrete, Glass"
4436,Mumbai,Commercial,2,43836552,22,"Aluminum, Tiles, Marble"
4813,Pune,Mixed-Use,10,206573960,22,"Concrete, Tiles, Aluminum"
5053,Delhi,Residential,7,91398664,14,"Wood, Tiles, Glass"
4920,Kolkata,Commercial,5,115866000,23,"Aluminum, Tiles, Marble"
9356,Bangalore,Residential,6,178737024,21,"Wood, Tiles, Glass"
2032,Ahmedabad,Industrial,1,7782560,21,"Concrete, Metal Panels"
8690,Hyderabad,Residential,9,386826660,20,"Concrete, Gypsum, PVC"
3615,Kolkata,Commercial,7,58403940,7,"Steel, Concrete, Glass"
1921,Trivandrum,Institutional,6,37113720,19,"Steel, Paint, Tiles"
4073,Mumbai,Residential,4,39231136,20,"Concrete, Gypsum, PVC"
5138,Bangalore,Mixed-Use,2,31074624,10,"Brick, Wood, Glass"
9622,Hyderabad,Commercial,2,83653668,21,"Aluminum, Tiles, Marble"
8540,Trivandrum,Mixed-Use,2,63623000,9,"Brick, Wood, Glass"
8991,Kochi,Industrial,4,109258632,19,"Steel, Iron, Asphalt"
6337,Pune,Industrial,8,221642912,12,"Reinforced Steel, Concrete"
4868,Kochi,Commercial,2,48358712,14,"Aluminum, Tiles, Marble"
1506,Pune,Commercial,7,32638032,18,"Reinforced Steel, Glass"
6973,Mumbai,Commercial,2,54919348,13,"Aluminum, Tiles, Marble"
2476,Pune,Institutional,5,51958860,15,"Concrete, Brick, Steel"
2869,Kolkata,Commercial,8,46592560,13,"Reinforced Steel, Glass"
1210,Ahmedabad,Institutional,4,15686440,14,"Concrete, Brick, Steel"
5837,Kolkata,Mixed-Use,2,24643814,24,"Brick, Wood, Glass"
9470,Chennai,Residential,6,235064340,21,"Concrete, Gypsum, PVC"
4150,Pune,Commercial,8,131737600,23,"Aluminum, Tiles, Marble"
3323,Delhi,Industrial,4,62711656,9,"Concrete, Metal Panels"
3603,Kolkata,Mixed-Use,10,164909310,11,"Concrete, Tiles, Aluminum"
8906,Chennai,Commercial,10,262816060,8,"Reinforced Steel, Glass"
6575,Trivandrum,Commercial,6,143519100,13,"Reinforced Steel, Glass"
1553,Bangalore,Industrial,2,6979182,20,"Reinforced Steel, Concrete"
4937,Chennai,Commercial,9,124056936,19,"Aluminum, Tiles, Marble"
7200,Pune,Industrial,5,141444000,14,"Concrete, Metal Panels"
5525,Bangalore,Industrial,9,187960500,21,"Reinforced Steel, Concrete"
2308,Hyderabad,Institutional,3,17870844,21,"Concrete, Brick, Steel"
8168,Pune,Commercial,3,107940120,18,"Aluminum, Tiles, Marble"
2669,Kolkata,Commercial,1,12573659,14,"Aluminum, Tiles, Marble"
5898,Pune,Mixed-Use,1,14591652,6,"Brick, Wood, Glass"
3719,Chennai,Mixed-Use,1,18375579,23,"Steel, Concrete, Glass"
4576,Bangalore,Residential,10,215026240,17,"Cement, Bricks, Paint"
7736,Chennai,Industrial,8,294710656,24,"Reinforced Steel, Concrete"
9149,Bangalore,Residential,7,268276127,8,"Cement, Bricks, Paint"
9821,Kochi,Commercial,7,260482383,24,"Aluminum, Tiles, Marble"
6437,Hyderabad,Mixed-Use,3,80584803,11,"Brick, Wood, Glass"
3110,Kolkata,Institutional,3,37590570,7,"Concrete, Brick, Steel"
3076,Delhi,Residential,8,106503424,14,"Wood, Tiles, Glass"
3550,Delhi,Institutional,8,106585200,16,"Concrete, Brick, Steel"
8951,Kolkata,Residential,3,69012210,19,"Cement, Bricks, Paint"
8083,Ahmedabad,Industrial,5,139997560,6,"Steel, Iron, Asphalt"
4929,Hyderabad,Residential,9,110281446,17,"Cement, Bricks, Paint"
9870,Mumbai,Residential,6,231609420,15,"Concrete, Gypsum, PVC"
9805,Delhi,Industrial,9,353156490,8,"Reinforced Steel, Concrete"
1121,Mumbai,Institutional,8,28679664,17,"Steel, Paint, Tiles"
4477,Mumbai,Industrial,10,221880120,22,"Reinforced Steel, Concrete"
5712,Kolkata,Institutional,4,75352704,24,"Glass, Concrete, Wood"
9360,Hyderabad,Residential,8,289186560,10,"Wood, Tiles, Glass"
2806,Ahmedabad,Mixed-Use,8,100903760,14,"Steel, Concrete, Glass"
1103,Delhi,Residential,7,20128647,17,"Cement, Bricks, Paint"
4734,Hyderabad,Mixed-Use,3,49067910,11,"Concrete, Tiles, Aluminum"
5258,Kolkata,Commercial,1,16594248,17,"Steel, Concrete, Glass"
2786,Mumbai,Institutional,9,59074344,10,"Glass, Concrete, Wood"
7790,Ahmedabad,Commercial,5,190738150,17,"Reinforced Steel, Glass"
4424,Trivandrum,Commercial,6,111192816,22,"Reinforced Steel, Glass"
1425,Trivandrum,Residential,4,24612600,22,"Wood, Tiles, Glass"
9174,Kolkata,Mixed-Use,2,56071488,23,"Steel, Concrete, Glass"
9578,Kochi,Residential,3,141716088,15,"Cement, Bricks, Paint"
4595,Kolkata,Institutional,4,80375740,15,"Glass, Concrete, Wood"
5623,Trivandrum,Industrial,7,123160569,10,"Steel, Iron, Asphalt"
5063,Trivandrum,Institutional,6,83023074,6,"Steel, Paint, Tiles"
1094,Delhi,Industrial,5,21880000,14,"Reinforced Steel, Concrete"
6689,Trivandrum,Commercial,7,232616664,21,"Aluminum, Tiles, Marble"
1225,Delhi,Institutional,10,55517000,22,"Concrete, Brick, Steel"
9706,Kolkata,Commercial,2,43405232,13,"Reinforced Steel, Glass"
2922,Mumbai,Residential,7,73532130,8,"Concrete, Gypsum, PVC"
2944,Ahmedabad,Industrial,1,11976192,17,"Reinforced Steel, Concrete"
1032,Chennai,Industrial,2,9593472,17,"Concrete, Metal Panels"
1121,Chennai,Residential,8,25397376,10,"Concrete, Gypsum, PVC"
7147,Bangalore,Mixed-Use,10,309107750,7,"Steel, Concrete, Glass"
5085,Kolkata,Industrial,9,105945975,7,"Steel, Iron, Asphalt"
9797,Kolkata,Residential,6,231836208,22,"Cement, Bricks, Paint"
6545,Pune,Residential,2,32070500,21,"Wood, Tiles, Glass"
5392,Delhi,Industrial,1,15032896,8,"Concrete, Metal Panels"
4775,Kochi,Institutional,3,29366250,15,"Concrete, Brick, Steel"
4331,Kolkata,Institutional,7,121146732,7,"Steel, Paint, Tiles"
2749,Ahmedabad,Mixed-Use,8,69736632,8,"Steel, Concrete, Glass"
2684,Hyderabad,Institutional,7,91290892,18,"Concrete, Brick, Steel"
4816,Delhi,Residential,1,14004928,24,"Cement, Bricks, Paint"
6571,Trivandrum,Mixed-Use,2,64014682,23,"Brick, Wood, Glass"
5569,Delhi,Institutional,7,168289611,11,"Concrete, Brick, Steel"
4754,Pune,Industrial,8,127825552,13,"Concrete, Metal Panels"
7229,Bangalore,Residential,10,333690640,14,"Concrete, Gypsum, PVC"
2596,Mumbai,Industrial,9,102310956,20,"Concrete, Metal Panels"
9997,Trivandrum,Mixed-Use,6,165970194,19,"Brick, Wood, Glass"
3701,Chennai,Residential,9,74345688,11,"Wood, Tiles, Glass"
4350,Mumbai,Commercial,5,81236250,23,"Reinforced Steel, Glass"
1476,Kolkata,Residential,10,32147280,19,"Concrete, Gypsum, PVC"
4631,Delhi,Commercial,8,121406296,20,"Steel, Concrete, Glass"
7912,Hyderabad,Mixed-Use,2,46111136,24,"Concrete, Tiles, Aluminum"
7026,Bangalore,Residential,3,53559198,23,"Cement, Bricks, Paint"
9242,Pune,Institutional,9,222750684,16,"Steel, Paint, Tiles"
7351,Mumbai,Mixed-Use,7,238503195,19,"Concrete, Tiles, Aluminum"
7842,Chennai,Mixed-Use,9,339268446,24,"Concrete, Tiles, Aluminum"
5481,Bangalore,Residential,1,11603277,14,"Concrete, Gypsum, PVC"
8900,Delhi,Industrial,3,132512100,15,"Reinforced Steel, Concrete"
4819,Bangalore,Mixed-Use,7,153282752,19,"Steel, Concrete, Glass"
3819,Mumbai,Residential,5,56196585,18,"Cement, Bricks, Paint"
8461,Mumbai,Commercial,7,268831353,12,"Steel, Concrete, Glass"
6834,Pune,Commercial,1,32358990,21,"Reinforced Steel, Glass"
9304,Delhi,Mixed-Use,4,107963616,21,"Brick, Wood, Glass"
3931,Kolkata,Institutional,1,14344219,21,"Steel, Paint, Tiles"
4248,Bangalore,Commercial,7,93489984,14,"Steel, Concrete, Glass"
4559,Bangalore,Mixed-Use,10,209714000,6,"Brick, Wood, Glass"
4248,Delhi,Residential,6,114007824,19,"Cement, Bricks, Paint"
6506,Ahmedabad,Industrial,2,53674500,8,"Reinforced Steel, Concrete"
5162,Hyderabad,Mixed-Use,7,99729840,17,"Steel, Concrete, Glass"
7217,Hyderabad,Residential,5,85341025,6,"Concrete, Gypsum, PVC"
3664,Hyderabad,Industrial,5,50123520,17,"Steel, Iron, Asphalt"
8202,Bangalore,Industrial,3,98866908,7,"Concrete, Metal Panels"
3509,Chennai,Commercial,2,26394698,6,"Aluminum, Tiles, Marble"
8838,Delhi,Mixed-Use,10,215293680,11,"Steel, Concrete, Glass"
3111,Mumbai,Residential,5,62873310,20,"Wood, Tiles, Glass"
1169,Bangalore,Residential,1,2833656,7,"Concrete, Gypsum, PVC"
9032,Ahmedabad,Residential,10,238354480,6,"Wood, Tiles, Glass"
5431,Mumbai,Institutional,1,19888322,20,"Steel, Paint, Tiles"
4024,Hyderabad,Mixed-Use,4,44795168,16,"Brick, Wood, Glass"
7076,Mumbai,Mixed-Use,2,44026872,17,"Brick, Wood, Glass"
4829,Bangalore,Institutional,1,12313950,20,"Glass, Concrete, Wood"
9718,Kochi,Residential,3,87841002,23,"Concrete, Gypsum, PVC"
5649,Kochi,Mixed-Use,5,93575685,15,"Steel, Concrete, Glass"
6209,Kochi,Mixed-Use,5,146221950,13,"Concrete, Tiles, Aluminum"
1834,Kolkata,Residential,9,55212570,18,"Cement, Bricks, Paint"
7991,Mumbai,Commercial,4,153107560,20,"Aluminum, Tiles, Marble"
5903,Bangalore,Institutional,10,213924720,7,"Glass, Concrete, Wood"
3959,Kolkata,Industrial,6,52662618,20,"Steel, Iron, Asphalt"
6316,Pune,Institutional,7,213190264,23,"Concrete, Brick, Steel"
5880,Kochi,Mixed-Use,7,167891640,7,"Brick, Wood, Glass"
6962,Chennai,Commercial,6,149961480,17,"Aluminum, Tiles, Marble"
7523,Ahmedabad,Residential,8,284670320,15,"Wood, Tiles, Glass"
9340,Ahmedabad,Institutional,5,199455700,8,"Glass, Concrete, Wood"
9652,Hyderabad,Mixed-Use,1,30982920,13,"Steel, Concrete, Glass"
3235,Mumbai,Industrial,5,63228075,15,"Steel, Iron, Asphalt"
8518,Hyderabad,Residential,7,215428738,20,"Wood, Tiles, Glass"
2501,Kochi,Mixed-Use,7,78396346,23,"Steel, Concrete, Glass"
6000,Hyderabad,Mixed-Use,4,62640000,15,"Concrete, Tiles, Aluminum"
3706,Kolkata,Residential,9,109301058,16,"Wood, Tiles, Glass"
4324,Delhi,Commercial,6,75497040,22,"Aluminum, Tiles, Marble"
3248,Kolkata,Residential,7,71754816,16,"Concrete, Gypsum, PVC"
2475,Hyderabad,Residential,8,71280000,19,"Wood, Tiles, Glass"
4735,Ahmedabad,Mixed-Use,9,138157830,14,"Concrete, Tiles, Aluminum"
2948,Kolkata,Commercial,7,67624172,8,"Reinforced Steel, Glass"
7124,Mumbai,Mixed-Use,8,152282624,21,"Brick, Wood, Glass"
9307,Trivandrum,Mixed-Use,7,203655774,7,"Concrete, Tiles, Aluminum"
1825,Ahmedabad,Institutional,3,26219775,13,"Steel, Paint, Tiles"
9467,Ahmedabad,Residential,4,141058300,9,"Concrete, Gypsum, PVC"
7265,Kolkata,Residential,8,193307120,17,"Concrete, Gypsum, PVC"
3858,Ahmedabad,Commercial,8,101943792,18,"Reinforced Steel, Glass"
2093,Hyderabad,Institutional,6,36204714,11,"Glass, Concrete, Wood"
4956,Ahmedabad,Institutional,4,94183824,13,"Steel, Paint, Tiles"
3339,Delhi,Institutional,5,74242665,19,"Steel, Paint, Tiles"
9226,Hyderabad,Commercial,4,146398168,20,"Aluminum, Tiles, Marble"
2962,Ahmedabad,Mixed-Use,4,30852192,14,"Concrete, Tiles, Aluminum"
8588,Hyderabad,Institutional,9,303757560,20,"Glass, Concrete, Wood"
7599,Trivandrum,Institutional,3,103293207,7,"Glass, Concrete, Wood"
5984,Kochi,Commercial,7,113223264,21,"Aluminum, Tiles, Marble"
8221,Trivandrum,Commercial,1,20125008,19,"Reinforced Steel, Glass"
1540,Ahmedabad,Institutional,9,31004820,10,"Concrete, Brick, Steel"
2463,Pune,Commercial,7,51895410,6,"Reinforced Steel, Glass"
3072,Hyderabad,Industrial,1,14678016,10,"Steel, Iron, Asphalt"
7776,Kolkata,Mixed-Use,7,183816864,8,"Steel, Concrete, Glass"
4598,Hyderabad,Residential,3,56789898,22,"Wood, Tiles, Glass"
6870,Bangalore,Industrial,2,50989140,13,"Steel, Iron, Asphalt"
3813,Mumbai,Institutional,7,58746891,6,"Glass, Concrete, Wood"
9109,Ahmedabad,Residential,9,315626850,21,"Concrete, Gypsum, PVC"
6883,Mumbai,Mixed-Use,8,221467408,22,"Steel, Concrete, Glass"
3107,Hyderabad,Commercial,7,77578683,24,"Aluminum, Tiles, Marble"
5166,Bangalore,Mixed-Use,9,189649026,10,"Concrete, Tiles, Aluminum"
5124,Kochi,Industrial,9,93015972,17,"Steel, Iron, Asphalt"
2466,Chennai,Mixed-Use,6,34252740,22,"Concrete, Tiles, Aluminum"
8027,Mumbai,Commercial,2,32814376,20,"Steel, Concrete, Glass"
5699,Hyderabad,Industrial,5,62147595,13,"Reinforced Steel, Concrete"
1312,Mumbai,Industrial,10,29979200,8,"Reinforced Steel, Concrete"
7090,Hyderabad,Commercial,8,145486800,10,"Reinforced Steel, Glass"
7370,Ahmedabad,Mixed-Use,7,237468770,9,"Concrete, Tiles, Aluminum"
9896,Delhi,Mixed-Use,6,135139776,18,"Concrete, Tiles, Aluminum"
4902,Hyderabad,Institutional,5,97206660,23,"Concrete, Brick, Steel"
7725,Mumbai,Industrial,1,30019350,19,"Reinforced Steel, Concrete"
4716,Mumbai,Institutional,3,46674252,7,"Concrete, Brick, Steel"
5960,Bangalore,Mixed-Use,10,223738400,12,"Brick, Wood, Glass"
5515,Pune,Mixed-Use,4,69091920,18,"Steel, Concrete, Glass"
2999,Mumbai,Institutional,3,19442517,11,"Steel, Paint, Tiles"
6018,Pune,Institutional,2,45050748,20,"Concrete, Brick, Steel"
8306,Kochi,Commercial,2,35749024,12,"Reinforced Steel, Glass"
7502,Trivandrum,Industrial,1,37449984,12,"Steel, Iron, Asphalt"
1940,Pune,Mixed-Use,3,28314300,21,"Brick, Wood, Glass"
6490,Kochi,Institutional,10,259924500,17,"Glass, Concrete, Wood"
7918,Mumbai,Commercial,4,146166280,16,"Aluminum, Tiles, Marble"
4679,Bangalore,Mixed-Use,3,57383256,15,"Brick, Wood, Glass"
4804,Trivandrum,Commercial,4,82686448,22,"Steel, Concrete, Glass"
5785,Trivandrum,Commercial,4,108966260,16,"Reinforced Steel, Glass"
8773,Bangalore,Commercial,10,260558100,22,"Aluminum, Tiles, Marble"
4935,Trivandrum,Institutional,2,22069320,23,"Concrete, Brick, Steel"
5013,Hyderabad,Commercial,3,68938776,23,"Aluminum, Tiles, Marble"
1955,Ahmedabad,Commercial,6,25289880,8,"Reinforced Steel, Glass"
7941,Hyderabad,Institutional,4,112317504,14,"Steel, Paint, Tiles"
7168,Bangalore,Commercial,4,65916928,20,"Steel, Concrete, Glass"
4929,Kochi,Mixed-Use,4,48974544,24,"Brick, Wood, Glass"
2430,Kochi,Industrial,5,29099250,10,"Reinforced Steel, Concrete"
6107,Trivandrum,Institutional,4,86817112,15,"Steel, Paint, Tiles"
6026,Mumbai,Industrial,8,191433968,7,"Reinforced Steel, Concrete"
6463,Delhi,Industrial,7,161736575,20,"Steel, Iron, Asphalt"
5842,Hyderabad,Commercial,7,103134668,22,"Aluminum, Tiles, Marble"
4674,Chennai,Institutional,6,131217876,6,"Glass, Concrete, Wood"
8841,Mumbai,Commercial,3,90310815,18,"Steel, Concrete, Glass"
4911,Bangalore,Mixed-Use,8,192943368,17,"Steel, Concrete, Glass"
6720,Hyderabad,Commercial,4,68544000,8,"Aluminum, Tiles, Marble"
4843,Pune,Commercial,1,10504467,9,"Aluminum, Tiles, Marble"
7651,Hyderabad,Industrial,8,169178912,13,"Steel, Iron, Asphalt"
9729,Kolkata,Commercial,3,97747263,11,"Aluminum, Tiles, Marble"
1427,Trivandrum,Mixed-Use,5,29053720,18,"Brick, Wood, Glass"
6739,Chennai,Residential,5,157288260,8,"Cement, Bricks, Paint"
6265,Hyderabad,Institutional,2,30097060,21,"Steel, Paint, Tiles"
2632,Pune,Commercial,7,75759488,8,"Steel, Concrete, Glass"
3986,Chennai,Commercial,10,133690440,14,"Aluminum, Tiles, Marble"
2599,Mumbai,Mixed-Use,2,16077414,8,"Brick, Wood, Glass"
5460,Kochi,Commercial,2,54578160,24,"Steel, Concrete, Glass"
5721,Kolkata,Industrial,6,138402432,6,"Concrete, Metal Panels"
4794,Kolkata,Mixed-Use,7,76914936,23,"Concrete, Tiles, Aluminum"
9071,Delhi,Mixed-Use,7,293165649,19,"Brick, Wood, Glass"
8053,Chennai,Residential,4,114545872,18,"Wood, Tiles, Glass"
5439,Hyderabad,Institutional,6,129100104,21,"Glass, Concrete, Wood"
6365,Chennai,Institutional,5,158934050,14,"Glass, Concrete, Wood"
2691,Kochi,Mixed-Use,5,35965215,10,"Concrete, Tiles, Aluminum"
5902,Mumbai,Mixed-Use,8,101325536,22,"Concrete, Tiles, Aluminum"
3750,Hyderabad,Industrial,10,171225000,6,"Steel, Iron, Asphalt"
5836,Delhi,Residential,4,103577328,7,"Cement, Bricks, Paint"
4661,Trivandrum,Commercial,5,47845165,10,"Aluminum, Tiles, Marble"
7872,Trivandrum,Institutional,4,137917440,21,"Steel, Paint, Tiles"
3581,Ahmedabad,Commercial,5,35863715,13,"Aluminum, Tiles, Marble"
7662,Ahmedabad,Residential,4,137793408,18,"Cement, Bricks, Paint"
5330,Trivandrum,Industrial,2,33184580,12,"Concrete, Metal Panels"
2468,Delhi,Residential,6,50228736,7,"Concrete, Gypsum, PVC"
3663,Delhi,Industrial,3,39483477,19,"Steel, Iron, Asphalt"
1916,Bangalore,Institutional,2,17029408,10,"Steel, Paint, Tiles"
9125,Kolkata,Industrial,4,137605000,14,"Steel, Iron, Asphalt"
9706,Trivandrum,Industrial,5,136272240,10,"Concrete, Metal Panels"
8753,Bangalore,Industrial,10,259176330,8,"Concrete, Metal Panels"
8512,Ahmedabad,Commercial,1,29000384,10,"Reinforced Steel, Glass"
2318,Mumbai,Institutional,6,37078728,16,"Concrete, Brick, Steel"
8399,Bangalore,Mixed-Use,8,257278168,12,"Brick, Wood, Glass"
