Land Size (sqft),Location,Type,Floors,Estimated Cost (rs),Time (months),Suggested Materials
7788,Bangalore,Mixed-Use,8,235384512,14,"Steel, Concrete, Glass"
8461,Kochi,Industrial,10,209832800,7,"Steel, Iron, Asphalt"
1246,Hyderabad,Industrial,6,29036784,9,"Steel, Iron, Asphalt"
9890,Chennai,Commercial,4,122042600,10,"Aluminum, Tiles, Marble"
6515,Chennai,Institutional,6,165976140,21,"Steel, Paint, Tiles"
7296,Chennai,Mixed-Use,10,213480960,22,"Steel, Concrete, Glass"
9435,Mumbai,Commercial,4,183718320,6,"Steel, Concrete, Glass"
6572,Ahmedabad,Institutional,8,153153888,7,"Glass, Concrete, Wood"
7320,Trivandrum,Residential,9,163580040,13,"Cement, Bricks, Paint"
7204,Mumbai,Commercial,9,257269248,13,"Aluminum, Tiles, Marble"
3487,Pune,Commercial,1,13473768,23,"Aluminum, Tiles, Marble"
3615,Chennai,Commercial,4,46170780,11,"Reinforced Steel, Glass"
9185,Trivandrum,Residential,3,59601465,18,"Wood, Tiles, Glass"
2914,Chennai,Residential,7,69251210,17,"Concrete, Gypsum, PVC"
6573,Kolkata,Institutional,10,251022870,10,"Concrete, Brick, Steel"
1968,Bangalore,Residential,8,53246208,14,"Wood, Tiles, Glass"
8647,Trivandrum,Mixed-Use,8,169135320,10,"Concrete, Tiles, Aluminum"
4567,Ahmedabad,Commercial,9,146491092,9,"Reinforced Steel, Glass"
7574,Pune,Industrial,8,142209424,11,"Reinforced Steel, Concrete"
1988,Mumbai,Commercial,1,5773152,9,"Steel, Concrete, Glass"
5201,Delhi,Institutional,4,81593288,12,"Steel, Paint, Tiles"
5501,Ahmedabad,Commercial,8,212822688,9,"Aluminum, Tiles, Marble"
9929,Kochi,Commercial,9,262363896,15,"Aluminum, Tiles, Marble"
4653,Kochi,Mixed-Use,6,82637280,16,"Concrete, Tiles, Aluminum"
1469,Bangalore,Industrial,7,40453322,17,"Concrete, Metal Panels"
5531,Bangalore,Institutional,9,182888046,9,"Concrete, Brick, Steel"
5290,Kolkata,Institutional,9,199723950,23,"Steel, Paint, Tiles"
7408,Kolkata,Mixed-Use,1,16993952,22,"Brick, Wood, Glass"
7826,Pune,Industrial,9,190242234,23,"Concrete, Metal Panels"
2042,Bangalore,Mixed-Use,5,33682790,10,"Concrete, Tiles, Aluminum"
7698,Chennai,Residential,2,73592880,14,"Cement, Bricks, Paint"
7237,Kolkata,Residential,9,194291739,10,"Concrete, Gypsum, PVC"
4475,Bangalore,Residential,10,184191000,10,"Cement, Bricks, Paint"
9399,Chennai,Mixed-Use,9,222812694,22,"Brick, Wood, Glass"
7438,Mumbai,Industrial,5,102979110,8,"Reinforced Steel, Concrete"
5521,Mumbai,Commercial,8,211697224,17,"Reinforced Steel, Glass"
4428,Trivandrum,Institutional,7,65866500,22,"Glass, Concrete, Wood"
3740,Ahmedabad,Mixed-Use,4,60034480,6,"Steel, Concrete, Glass"
6544,Mumbai,Commercial,7,158724720,24,"Steel, Concrete, Glass"
9251,Ahmedabad,Institutional,4,172068600,15,"Glass, Concrete, Wood"
2770,Ahmedabad,Industrial,9,85061160,22,"Concrete, Metal Panels"
5425,Trivandrum,Institutional,1,12309325,8,"Steel, Paint, Tiles"
7723,Pune,Industrial,2,37796362,11,"Reinforced Steel, Concrete"
2336,Delhi,Industrial,1,5942784,17,"Concrete, Metal Panels"
5892,Ahmedabad,Industrial,4,117274368,20,"Steel, Iron, Asphalt"
7599,Chennai,Institutional,7,125535480,15,"Concrete, Brick, Steel"
1175,Trivandrum,Commercial,9,21900825,12,"Reinforced Steel, Glass"
4287,Mumbai,Institutional,5,50843820,11,"Concrete, Brick, Steel"
3246,Kolkata,Commercial,3,25640154,24,"Steel, Concrete, Glass"
7810,Ahmedabad,Institutional,4,92439160,13,"Steel, Paint, Tiles"
6007,Bangalore,Residential,10,236255310,18,"Wood, Tiles, Glass"
6927,Kochi,Industrial,4,72567252,12,"Concrete, Metal Panels"
6813,Trivandrum,Institutional,7,149558976,19,"Steel, Paint, Tiles"
1119,Bangalore,Institutional,6,33523002,18,"Glass, Concrete, Wood"
8282,Kolkata,Industrial,2,66438204,13,"Steel, Iron, Asphalt"
7303,Ahmedabad,Residential,8,130110248,15,"Concrete, Gypsum, PVC"
6782,Mumbai,Residential,1,16114032,12,"Concrete, Gypsum, PVC"
7664,Trivandrum,Industrial,1,22999664,22,"Concrete, Metal Panels"
2188,Chennai,Residential,3,19481952,20,"Cement, Bricks, Paint"
2522,Pune,Commercial,5,40175460,13,"Aluminum, Tiles, Marble"
2981,Pune,Mixed-Use,4,51261276,10,"Concrete, Tiles, Aluminum"
9411,Chennai,Institutional,10,400626270,13,"Steel, Paint, Tiles"
4320,Delhi,Mixed-Use,4,53706240,11,"Steel, Concrete, Glass"
7505,Pune,Mixed-Use,9,244310265,17,"Steel, Concrete, Glass"
3664,Kolkata,Residential,1,16220528,22,"Concrete, Gypsum, PVC"
4782,Delhi,Institutional,3,37256562,23,"Steel, Paint, Tiles"
3299,Pune,Industrial,7,52305645,23,"Steel, Iron, Asphalt"
6649,Hyderabad,Mixed-Use,2,31901902,16,"Concrete, Tiles, Aluminum"
2409,Hyderabad,Industrial,8,49663944,22,"Reinforced Steel, Concrete"
7051,Kochi,Residential,7,173588569,18,"Wood, Tiles, Glass"
9953,Hyderabad,Institutional,6,186618750,22,"Steel, Paint, Tiles"
4420,Pune,Institutional,10,187805800,20,"Glass, Concrete, Wood"
5378,Delhi,Mixed-Use,6,84122676,22,"Steel, Concrete, Glass"
5244,Chennai,Residential,9,95477508,7,"Cement, Bricks, Paint"
9626,Pune,Commercial,9,324877500,15,"Aluminum, Tiles, Marble"
2670,Hyderabad,Institutional,6,69815160,13,"Steel, Paint, Tiles"
8653,Hyderabad,Commercial,4,109650816,13,"Aluminum, Tiles, Marble"
8261,Bangalore,Residential,5,106856035,18,"Concrete, Gypsum, PVC"
5203,Ahmedabad,Residential,1,23590402,18,"Cement, Bricks, Paint"
5015,Chennai,Institutional,3,55606320,20,"Glass, Concrete, Wood"
4750,Kolkata,Commercial,3,60975750,18,"Aluminum, Tiles, Marble"
8613,Hyderabad,Institutional,2,41945310,6,"Glass, Concrete, Wood"
4981,Delhi,Institutional,2,25622264,13,"Glass, Concrete, Wood"
3786,Kolkata,Mixed-Use,4,42857520,7,"Steel, Concrete, Glass"
7103,Bangalore,Residential,1,27026915,7,"Concrete, Gypsum, PVC"
6516,Trivandrum,Mixed-Use,7,142309440,24,"Brick, Wood, Glass"
5443,Kolkata,Residential,2,24341096,23,"Concrete, Gypsum, PVC"
8272,Kolkata,Industrial,1,31036544,16,"Steel, Iron, Asphalt"
5065,Trivandrum,Industrial,9,98463600,7,"Steel, Iron, Asphalt"
4406,Hyderabad,Industrial,5,65208800,7,"Concrete, Metal Panels"
4760,Bangalore,Industrial,7,70171920,19,"Steel, Iron, Asphalt"
9513,Ahmedabad,Commercial,7,164546361,16,"Reinforced Steel, Glass"
7640,Chennai,Residential,8,189594240,6,"Concrete, Gypsum, PVC"
5096,Delhi,Industrial,3,55266120,14,"Concrete, Metal Panels"
5248,Delhi,Industrial,1,12768384,14,"Concrete, Metal Panels"
1921,Chennai,Industrial,8,61979144,9,"Steel, Iron, Asphalt"
5882,Pune,Commercial,3,85653684,17,"Steel, Concrete, Glass"
9833,Trivandrum,Commercial,2,41239602,17,"Steel, Concrete, Glass"
2257,Hyderabad,Residential,5,46212075,21,"Cement, Bricks, Paint"
9469,Ahmedabad,Residential,7,153975409,7,"Cement, Bricks, Paint"
4893,Ahmedabad,Institutional,3,60110505,21,"Steel, Paint, Tiles"
1510,Delhi,Residential,9,27533340,23,"Cement, Bricks, Paint"
5734,Kolkata,Commercial,4,92936672,23,"Steel, Concrete, Glass"
7819,Chennai,Mixed-Use,7,140390145,7,"Steel, Concrete, Glass"
3893,Kochi,Institutional,8,83029904,7,"Steel, Paint, Tiles"
5208,Pune,Residential,8,174697152,22,"Cement, Bricks, Paint"
3053,Delhi,Residential,2,23495888,20,"Wood, Tiles, Glass"
9694,Trivandrum,Residential,8,191088128,22,"Cement, Bricks, Paint"
8510,Pune,Commercial,5,134075050,17,"Aluminum, Tiles, Marble"
5077,Pune,Industrial,2,43976974,11,"Concrete, Metal Panels"
6530,Chennai,Mixed-Use,8,249602720,6,"Steel, Concrete, Glass"
9488,Bangalore,Commercial,8,377394688,19,"Steel, Concrete, Glass"
2471,Trivandrum,Commercial,2,19595030,10,"Aluminum, Tiles, Marble"
2885,Hyderabad,Commercial,6,68132160,22,"Steel, Concrete, Glass"
6659,Mumbai,Mixed-Use,10,251710200,18,"Concrete, Tiles, Aluminum"
9821,Kolkata,Mixed-Use,10,249060560,13,"Concrete, Tiles, Aluminum"
3061,Delhi,Residential,3,33159813,17,"Concrete, Gypsum, PVC"
7898,Trivandrum,Residential,10,231332420,10,"Cement, Bricks, Paint"
9891,Delhi,Mixed-Use,2,52798158,21,"Steel, Concrete, Glass"
6603,Kolkata,Institutional,9,134423874,14,"Concrete, Brick, Steel"
3889,Trivandrum,Commercial,9,156629475,21,"Steel, Concrete, Glass"
4400,Chennai,Mixed-Use,5,68508000,13,"Brick, Wood, Glass"
4667,Bangalore,Commercial,9,103747410,8,"Reinforced Steel, Glass"
8865,Pune,Institutional,5,142460550,8,"Steel, Paint, Tiles"
3337,Kolkata,Industrial,6,98027712,17,"Concrete, Metal Panels"
8760,Mumbai,Institutional,1,19009200,9,"Glass, Concrete, Wood"
2178,Mumbai,Residential,7,60496128,16,"Wood, Tiles, Glass"
4712,Kolkata,Mixed-Use,5,61680080,8,"Concrete, Tiles, Aluminum"
4720,Bangalore,Residential,9,180709920,9,"Concrete, Gypsum, PVC"
6177,Pune,Commercial,3,65914767,23,"Reinforced Steel, Glass"
7912,Ahmedabad,Commercial,10,326844720,17,"Aluminum, Tiles, Marble"
6339,Chennai,Residential,3,85196160,14,"Cement, Bricks, Paint"
6732,Pune,Residential,5,77182380,24,"Cement, Bricks, Paint"
7860,Kolkata,Institutional,10,379952400,22,"Concrete, Brick, Steel"
1119,Kolkata,Commercial,9,29920941,17,"Aluminum, Tiles, Marble"
3962,Pune,Commercial,8,103645920,22,"Steel, Concrete, Glass"
4828,Kochi,Residential,3,56255856,16,"Concrete, Gypsum, PVC"
5760,Delhi,Mixed-Use,7,184705920,21,"Brick, Wood, Glass"
6407,Pune,Mixed-Use,4,70425744,16,"Concrete, Tiles, Aluminum"
5748,Chennai,Industrial,9,174750696,6,"Concrete, Metal Panels"
8126,Delhi,Institutional,2,62326420,7,"Steel, Paint, Tiles"
8088,Bangalore,Commercial,10,345276720,19,"Aluminum, Tiles, Marble"
9161,Mumbai,Mixed-Use,8,254895664,8,"Concrete, Tiles, Aluminum"
4026,Mumbai,Residential,6,113460732,7,"Cement, Bricks, Paint"
9586,Chennai,Institutional,9,307566810,13,"Concrete, Brick, Steel"
7995,Bangalore,Commercial,5,87745125,12,"Aluminum, Tiles, Marble"
4562,Hyderabad,Residential,3,41974962,23,"Concrete, Gypsum, PVC"
1442,Hyderabad,Industrial,2,7890624,11,"Concrete, Metal Panels"
5014,Kochi,Residential,3,47051376,20,"Wood, Tiles, Glass"
6395,Mumbai,Commercial,8,138183160,9,"Reinforced Steel, Glass"
4910,Mumbai,Residential,5,120957850,12,"Concrete, Gypsum, PVC"
4532,Chennai,Commercial,7,106148504,20,"Aluminum, Tiles, Marble"
9258,Chennai,Residential,2,47641668,18,"Cement, Bricks, Paint"
4309,Bangalore,Commercial,5,101907850,8,"Aluminum, Tiles, Marble"
1574,Kolkata,Commercial,10,43678500,11,"Reinforced Steel, Glass"
7856,Trivandrum,Mixed-Use,9,320996160,14,"Steel, Concrete, Glass"
4277,Kochi,Residential,2,33574450,14,"Concrete, Gypsum, PVC"
4436,Trivandrum,Commercial,3,55427820,12,"Aluminum, Tiles, Marble"
3901,Bangalore,Industrial,7,62587644,15,"Concrete, Metal Panels"
1966,Kochi,Commercial,2,18680932,13,"Reinforced Steel, Glass"
8854,Mumbai,Residential,6,256801416,18,"Cement, Bricks, Paint"
1393,Kolkata,Residential,4,27793136,14,"Cement, Bricks, Paint"
1061,Trivandrum,Industrial,5,22864550,6,"Steel, Iron, Asphalt"
8554,Bangalore,Residential,5,198452800,12,"Concrete, Gypsum, PVC"
9453,Hyderabad,Commercial,4,90408492,22,"Steel, Concrete, Glass"
4847,Hyderabad,Mixed-Use,9,161666838,9,"Steel, Concrete, Glass"
8926,Trivandrum,Institutional,10,178877040,17,"Steel, Paint, Tiles"
1000,Chennai,Residential,3,9432000,24,"Wood, Tiles, Glass"
6966,Pune,Commercial,9,190088208,6,"Reinforced Steel, Glass"
4731,Mumbai,Residential,10,98499420,13,"Wood, Tiles, Glass"
3382,Trivandrum,Mixed-Use,4,41801520,9,"Brick, Wood, Glass"
8935,Ahmedabad,Residential,7,164118080,15,"Wood, Tiles, Glass"
1725,Kolkata,Commercial,6,22128300,23,"Aluminum, Tiles, Marble"
7917,Mumbai,Residential,2,77254086,20,"Concrete, Gypsum, PVC"
2639,Ahmedabad,Mixed-Use,5,40231555,15,"Steel, Concrete, Glass"
5286,Kolkata,Mixed-Use,10,234011220,6,"Steel, Concrete, Glass"
1730,Trivandrum,Institutional,5,27524300,24,"Glass, Concrete, Wood"
7608,Kolkata,Mixed-Use,6,105583824,8,"Steel, Concrete, Glass"
1341,Pune,Institutional,3,16023609,15,"Concrete, Brick, Steel"
5028,Ahmedabad,Mixed-Use,4,85033536,22,"Brick, Wood, Glass"
9733,Mumbai,Residential,8,278753120,11,"Wood, Tiles, Glass"
8081,Trivandrum,Residential,1,25350097,9,"Cement, Bricks, Paint"
6612,Kochi,Mixed-Use,5,126057780,20,"Concrete, Tiles, Aluminum"
9047,Bangalore,Commercial,8,215969984,11,"Aluminum, Tiles, Marble"
4371,Trivandrum,Mixed-Use,9,121203459,15,"Concrete, Tiles, Aluminum"
3538,Trivandrum,Institutional,7,88266024,18,"Glass, Concrete, Wood"
1521,Hyderabad,Commercial,9,55454139,12,"Reinforced Steel, Glass"
9764,Hyderabad,Industrial,8,167081568,11,"Reinforced Steel, Concrete"
7692,Chennai,Industrial,10,246220920,21,"Concrete, Metal Panels"
4676,Chennai,Residential,7,141009456,20,"Cement, Bricks, Paint"
5145,Bangalore,Industrial,10,204050700,21,"Reinforced Steel, Concrete"
5118,Kolkata,Mixed-Use,3,75925530,18,"Steel, Concrete, Glass"
8129,Pune,Residential,4,125186600,15,"Concrete, Gypsum, PVC"
2715,Bangalore,Institutional,10,93558900,21,"Steel, Paint, Tiles"
5541,Hyderabad,Mixed-Use,6,68553252,14,"Concrete, Tiles, Aluminum"
4891,Kolkata,Industrial,9,155122956,13,"Reinforced Steel, Concrete"
6130,Bangalore,Mixed-Use,3,38894850,6,"Concrete, Tiles, Aluminum"
1210,Trivandrum,Institutional,4,12433960,20,"Concrete, Brick, Steel"
9908,Mumbai,Mixed-Use,1,38740280,18,"Brick, Wood, Glass"
3823,Chennai,Residential,8,101294208,19,"Cement, Bricks, Paint"
7537,Trivandrum,Residential,2,42327792,7,"Concrete, Gypsum, PVC"
4800,Kolkata,Industrial,5,90216000,20,"Concrete, Metal Panels"
3863,Mumbai,Institutional,1,9869965,8,"Concrete, Brick, Steel"
5195,Ahmedabad,Residential,6,110217120,11,"Cement, Bricks, Paint"
2258,Hyderabad,Institutional,8,40914960,14,"Glass, Concrete, Wood"
5391,Ahmedabad,Institutional,10,159681420,21,"Glass, Concrete, Wood"
1021,Kochi,Industrial,6,16601460,18,"Reinforced Steel, Concrete"
4191,Mumbai,Residential,6,50744628,11,"Cement, Bricks, Paint"
5244,Pune,Residential,9,121388112,23,"Wood, Tiles, Glass"
5853,Kolkata,Commercial,2,55088436,18,"Steel, Concrete, Glass"
7182,Ahmedabad,Mixed-Use,10,284694480,13,"Brick, Wood, Glass"
9276,Delhi,Industrial,5,223597980,11,"Steel, Iron, Asphalt"
3460,Mumbai,Mixed-Use,8,98236320,7,"Steel, Concrete, Glass"
5778,Hyderabad,Commercial,5,116311140,10,"Aluminum, Tiles, Marble"
2908,Kochi,Mixed-Use,3,25247256,23,"Concrete, Tiles, Aluminum"
6069,Ahmedabad,Industrial,1,19791009,23,"Reinforced Steel, Concrete"
9356,Chennai,Institutional,5,218602940,18,"Glass, Concrete, Wood"
1345,Trivandrum,Residential,4,26620240,16,"Wood, Tiles, Glass"
3154,Mumbai,Institutional,1,10767756,11,"Glass, Concrete, Wood"
4002,Bangalore,Residential,6,114393168,21,"Cement, Bricks, Paint"
6708,Delhi,Institutional,5,81368040,9,"Glass, Concrete, Wood"
4185,Delhi,Mixed-Use,7,68228055,21,"Brick, Wood, Glass"
8787,Hyderabad,Mixed-Use,3,114064047,20,"Steel, Concrete, Glass"
2385,Chennai,Commercial,6,52503390,20,"Steel, Concrete, Glass"
4843,Kolkata,Industrial,6,72674058,16,"Steel, Iron, Asphalt"
5376,Kochi,Residential,5,94241280,20,"Concrete, Gypsum, PVC"
8068,Kolkata,Institutional,5,162892920,15,"Steel, Paint, Tiles"
5055,Delhi,Residential,6,125566200,23,"Concrete, Gypsum, PVC"
4882,Pune,Industrial,8,193991152,7,"Reinforced Steel, Concrete"
4588,Hyderabad,Commercial,5,76367260,23,"Steel, Concrete, Glass"
1460,Pune,Institutional,7,29127000,9,"Glass, Concrete, Wood"
4351,Chennai,Institutional,8,170907280,13,"Glass, Concrete, Wood"
6348,Kolkata,Commercial,3,40220928,8,"Aluminum, Tiles, Marble"
3573,Bangalore,Commercial,10,125519490,10,"Reinforced Steel, Glass"
1614,Chennai,Institutional,3,9775998,17,"Concrete, Brick, Steel"
5883,Bangalore,Residential,1,23967342,22,"Cement, Bricks, Paint"
1947,Trivandrum,Industrial,3,16062750,15,"Steel, Iron, Asphalt"
8776,Hyderabad,Mixed-Use,10,324360960,7,"Brick, Wood, Glass"
8103,Hyderabad,Industrial,2,80430378,15,"Steel, Iron, Asphalt"
1388,Chennai,Institutional,4,26949408,18,"Steel, Paint, Tiles"
5051,Kochi,Institutional,7,121274510,15,"Glass, Concrete, Wood"
2262,Delhi,Industrial,4,37250616,11,"Reinforced Steel, Concrete"
7113,Ahmedabad,Institutional,9,236734866,20,"Steel, Paint, Tiles"
1071,Ahmedabad,Residential,3,6634845,9,"Concrete, Gypsum, PVC"
3117,Delhi,Industrial,7,101916549,15,"Concrete, Metal Panels"
7308,Mumbai,Residential,10,290127600,18,"Concrete, Gypsum, PVC"
1267,Delhi,Commercial,6,36223530,24,"Steel, Concrete, Glass"
7497,Trivandrum,Institutional,8,166673304,23,"Steel, Paint, Tiles"
9845,Kochi,Residential,9,277510860,21,"Cement, Bricks, Paint"
1539,Hyderabad,Mixed-Use,3,21986154,7,"Steel, Concrete, Glass"
5514,Trivandrum,Commercial,6,126447048,17,"Steel, Concrete, Glass"
2844,Trivandrum,Residential,2,16444008,22,"Concrete, Gypsum, PVC"
9098,Hyderabad,Mixed-Use,8,213839392,12,"Steel, Concrete, Glass"
6425,Hyderabad,Commercial,10,178036750,17,"Reinforced Steel, Glass"
4916,Ahmedabad,Commercial,6,75273792,22,"Reinforced Steel, Glass"
8316,Trivandrum,Commercial,9,156798180,8,"Aluminum, Tiles, Marble"
2216,Trivandrum,Mixed-Use,8,43114496,24,"Steel, Concrete, Glass"
8465,Kolkata,Residential,10,214672400,15,"Concrete, Gypsum, PVC"
8996,Kochi,Industrial,3,129731316,12,"Steel, Iron, Asphalt"
5353,Delhi,Residential,8,141918736,17,"Wood, Tiles, Glass"
4054,Trivandrum,Mixed-Use,1,14566022,17,"Steel, Concrete, Glass"
2079,Trivandrum,Industrial,3,14694372,18,"Concrete, Metal Panels"
6652,Pune,Industrial,6,192974520,24,"Steel, Iron, Asphalt"
2298,Hyderabad,Commercial,1,6156342,21,"Aluminum, Tiles, Marble"
8171,Chennai,Institutional,8,137076696,15,"Glass, Concrete, Wood"
6464,Hyderabad,Institutional,7,91989184,20,"Concrete, Brick, Steel"
4106,Ahmedabad,Mixed-Use,1,12946218,9,"Steel, Concrete, Glass"
6153,Mumbai,Mixed-Use,8,229334616,22,"Concrete, Tiles, Aluminum"
8998,Trivandrum,Industrial,2,79002440,7,"Reinforced Steel, Concrete"
9111,Hyderabad,Institutional,3,94435515,11,"Steel, Paint, Tiles"
5530,Pune,Mixed-Use,6,142773540,17,"Brick, Wood, Glass"
3352,Chennai,Mixed-Use,1,16082896,14,"Brick, Wood, Glass"
6999,Chennai,Institutional,8,159017280,23,"Concrete, Brick, Steel"
1899,Kolkata,Commercial,9,57989763,22,"Aluminum, Tiles, Marble"
5342,Pune,Institutional,4,97267136,22,"Concrete, Brick, Steel"
7847,Bangalore,Commercial,2,42813232,20,"Aluminum, Tiles, Marble"
9300,Mumbai,Commercial,3,70977600,22,"Aluminum, Tiles, Marble"
5687,Delhi,Mixed-Use,6,133655874,10,"Concrete, Tiles, Aluminum"
8676,Mumbai,Residential,7,162640296,13,"Concrete, Gypsum, PVC"
5910,Mumbai,Commercial,7,90600300,23,"Aluminum, Tiles, Marble"
8287,Bangalore,Industrial,10,199799570,18,"Steel, Iron, Asphalt"
2186,Bangalore,Commercial,2,14099700,17,"Steel, Concrete, Glass"
5599,Mumbai,Institutional,5,120182535,12,"Glass, Concrete, Wood"
9464,Bangalore,Mixed-Use,5,144184040,22,"Steel, Concrete, Glass"
7656,Pune,Industrial,9,280439280,21,"Concrete, Metal Panels"
8420,Bangalore,Mixed-Use,3,82726500,7,"Concrete, Tiles, Aluminum"
7035,Bangalore,Institutional,1,19191480,8,"Steel, Paint, Tiles"
4543,Delhi,Residential,8,109686192,14,"Concrete, Gypsum, PVC"
7583,Ahmedabad,Mixed-Use,5,164058205,12,"Steel, Concrete, Glass"
3731,Kochi,Institutional,9,84686238,11,"Glass, Concrete, Wood"
7499,Pune,Residential,10,340379610,10,"Cement, Bricks, Paint"
9797,Delhi,Industrial,6,260639388,23,"Steel, Iron, Asphalt"
2023,Kolkata,Residential,1,8986166,14,"Concrete, Gypsum, PVC"
4463,Hyderabad,Commercial,8,157097600,19,"Reinforced Steel, Glass"
2388,Ahmedabad,Residential,6,66854448,23,"Concrete, Gypsum, PVC"
9681,Trivandrum,Residential,4,191335284,7,"Wood, Tiles, Glass"
4309,Chennai,Residential,8,140301040,6,"Wood, Tiles, Glass"
2536,Chennai,Mixed-Use,6,45161088,17,"Steel, Concrete, Glass"
7721,Mumbai,Industrial,8,158496688,14,"Reinforced Steel, Concrete"
6227,Bangalore,Institutional,10,217322300,21,"Steel, Paint, Tiles"
7159,Chennai,Mixed-Use,10,150195820,15,"Brick, Wood, Glass"
1131,Hyderabad,Commercial,3,7878546,23,"Aluminum, Tiles, Marble"
5459,Hyderabad,Mixed-Use,9,162230562,23,"Brick, Wood, Glass"
5892,Kolkata,Industrial,6,161629344,12,"Steel, Iron, Asphalt"
1922,Bangalore,Mixed-Use,7,55376664,14,"Brick, Wood, Glass"
6489,Bangalore,Commercial,10,179615520,10,"Aluminum, Tiles, Marble"
7663,Pune,Industrial,6,189337404,9,"Reinforced Steel, Concrete"
3626,Chennai,Industrial,9,106256304,16,"Steel, Iron, Asphalt"
2003,Kolkata,Institutional,9,67420980,24,"Glass, Concrete, Wood"
6994,Kolkata,Commercial,6,95593992,15,"Reinforced Steel, Glass"
9001,Ahmedabad,Mixed-Use,9,275592618,11,"Steel, Concrete, Glass"
9819,Ahmedabad,Mixed-Use,9,417729717,21,"Concrete, Tiles, Aluminum"
8536,Ahmedabad,Institutional,7,171368736,9,"Glass, Concrete, Wood"
9726,Ahmedabad,Industrial,8,280108800,14,"Reinforced Steel, Concrete"
2848,Bangalore,Industrial,2,12183744,12,"Concrete, Metal Panels"
2502,Ahmedabad,Residential,9,90454806,23,"Wood, Tiles, Glass"
7438,Trivandrum,Commercial,2,48480884,21,"Reinforced Steel, Glass"
1676,Trivandrum,Residential,10,79475920,8,"Concrete, Gypsum, PVC"
5974,Kochi,Institutional,9,236032740,10,"Steel, Paint, Tiles"
6531,Delhi,Mixed-Use,7,188719776,11,"Concrete, Tiles, Aluminum"
7121,Ahmedabad,Residential,6,160692486,9,"Concrete, Gypsum, PVC"
5913,Kolkata,Commercial,1,15101802,20,"Reinforced Steel, Glass"
9847,Bangalore,Commercial,2,87106562,24,"Reinforced Steel, Glass"
2564,Kolkata,Commercial,4,26009216,13,"Steel, Concrete, Glass"
7053,Ahmedabad,Residential,8,177848448,21,"Cement, Bricks, Paint"
6874,Kolkata,Industrial,4,66320352,6,"Concrete, Metal Panels"
3627,Pune,Mixed-Use,3,45634914,7,"Concrete, Tiles, Aluminum"
4118,Delhi,Industrial,3,42979566,12,"Concrete, Metal Panels"
3155,Kolkata,Mixed-Use,5,33316800,19,"Brick, Wood, Glass"
2279,Ahmedabad,Mixed-Use,9,49698153,19,"Brick, Wood, Glass"
8119,Chennai,Industrial,2,61834304,14,"Steel, Iron, Asphalt"
6654,Chennai,Institutional,2,64264332,18,"Steel, Paint, Tiles"
2828,Ahmedabad,Industrial,1,13314224,24,"Steel, Iron, Asphalt"
8556,Chennai,Industrial,8,150517152,22,"Reinforced Steel, Concrete"
